"장소별(1)","장소별(2)",범죄별(1),범죄별(2),2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"계","소계",계,소계,137725,132966,130674,126401,117839,107835,101948,103668,92679,80445
"계","소계",계,살인,179,152,158,163,148,142,143,136,141,124
"계","소계",계,강도,570,420,343,276,262,169,143,136,138,122
"계","소계",계,강간강제추행,4908,5387,5462,5449,6002,6963,6412,6469,5763,4911
"계","소계",계,절도,61436,61585,59393,55307,46857,41162,39175,42204,38293,33531
"계","소계",계,폭력,70632,65422,65318,65206,64570,59399,56075,54723,48344,41757
"계","아파트 연립다세대",계,소계,5375,9273,5671,5039,4660,4523,7682,8999,9597,9848
"계","아파트 연립다세대",계,살인,26,26,22,20,12,21,29,25,32,30
"계","아파트 연립다세대",계,강도,23,37,37,20,20,20,10,7,11,25
"계","아파트 연립다세대",계,강간강제추행,306,412,296,283,284,319,441,533,556,596
"계","아파트 연립다세대",계,절도,2862,5001,2765,1866,1504,1209,1907,2455,2867,2632
"계","아파트 연립다세대",계,폭력,2158,3797,2551,2850,2840,2954,5295,5979,6131,6565
"계","단독주택",계,소계,6874,11596,7325,6408,6266,5092,8150,8757,8200,7924
"계","단독주택",계,살인,26,41,36,39,30,25,40,36,35,26
"계","단독주택",계,강도,51,39,36,23,15,11,16,12,12,10
"계","단독주택",계,강간강제추행,387,503,404,346,395,413,538,552,588,625
"계","단독주택",계,절도,3604,5922,3655,2498,2246,1340,2020,2163,2045,1705
"계","단독주택",계,폭력,2806,5091,3194,3502,3580,3303,5536,5994,5520,5558
"계","교통수단",계,소계,1796,2826,2079,2173,2197,2359,3110,3358,2791,2412
"계","교통수단",계,살인,-,-,1,-,-,1,1,-,2,0
"계","교통수단",계,강도,3,3,1,3,1,-,1,3,2,2
"계","교통수단",계,강간강제추행,460,685,694,812,841,1105,968,966,632,658
"계","교통수단",계,절도,877,1261,936,1026,889,744,1001,1156,1054,759
"계","교통수단",계,폭력,456,877,447,332,466,509,1139,1233,1101,993
"계","학교",계,소계,1308,1357,679,640,636,518,634,685,319,325
"계","학교",계,살인,1,-,-,1,-,-,-,-,-,0
"계","학교",계,강도,1,2,-,-,-,-,-,-,1,0
"계","학교",계,강간강제추행,18,38,26,46,33,49,60,49,29,37
"계","학교",계,절도,894,1018,425,397,400,247,296,363,160,141
"계","학교",계,폭력,394,299,228,196,203,222,278,273,129,147
"계","금융기관",계,소계,1314,1992,1530,1322,1127,1024,1375,1199,949,694
"계","금융기관",계,살인,-,-,-,-,1,-,-,-,-,0
"계","금융기관",계,강도,4,-,-,3,1,3,2,1,1,1
"계","금융기관",계,강간강제추행,1,2,1,1,2,1,6,3,3,2
"계","금융기관",계,절도,1257,1891,1482,1273,1081,990,1302,1104,873,635
"계","금융기관",계,폭력,52,99,47,45,42,30,65,91,72,